%iy  id  it imin   Q*      QH      QE      Qs      Qf    Wind    RH     Td     press   rain    Kdn    snow    ldown   fcld    wuh     xsmd    lai_hr  Kdiff   Kdir    Wd
2020 267 1 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.90000 73.46 12.70 101.10 19.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2020 267 1 30 -999.00 -999.00 -999.00 -999.00 -999.00 1.90000 74.36 12.50 101.00 18.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2020 267 2 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.90000 77.00 12.20 101.00 17.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2020 267 2 30 -999.00 -999.00 -999.00 -999.00 -999.00 1.80000 77.51 12.10 101.00 16.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2020 267 3 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.80000 79.57 11.90 101.00 16.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2020 267 3 30 -999.00 -999.00 -999.00 -999.00 -999.00 1.80000 80.10 11.80 101.00 16.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2020 267 4 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.80000 82.37 11.60 101.00 16.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2020 267 4 30 -999.00 -999.00 -999.00 -999.00 -999.00 1.80000 82.46 11.60 101.10 17.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2020 267 5 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.80000 84.19 11.60 101.10 17.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2020 267 5 30 -999.00 -999.00 -999.00 -999.00 -999.00 1.80000 82.00 12.00 101.10 18.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2020 267 6 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.90000 81.50 12.50 101.10 19.00 23.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 18.00 132.00 -999.00
2020 267 6 30 -999.00 -999.00 -999.00 -999.00 -999.00 2.00000 75.37 13.70 101.10 19.00 93.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 43.00 371.00 -999.00
2020 267 7 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.10000 72.44 14.90 101.10 20.00 181.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 61.00 523.00 -999.00
2020 267 7 30 -999.00 -999.00 -999.00 -999.00 -999.00 2.10000 64.58 16.70 101.10 20.00 275.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 74.00 625.00 -999.00
2020 267 8 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.10000 62.58 18.40 101.10 20.00 369.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 85.00 696.00 -999.00
2020 267 8 30 -999.00 -999.00 -999.00 -999.00 -999.00 2.10000 56.66 20.00 101.10 20.00 458.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 92.00 750.00 -999.00
2020 267 9 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.10000 54.47 21.60 101.00 20.00 540.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 98.00 791.00 -999.00
2020 267 9 30 -999.00 -999.00 -999.00 -999.00 -999.00 2.10000 51.26 22.60 101.00 19.00 613.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 102.00 825.00 -999.00
2020 267 10 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.10000 49.98 23.60 101.00 19.00 673.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 103.00 851.00 -999.00
2020 267 10 30 -999.00 -999.00 -999.00 -999.00 -999.00 2.10000 48.51 24.10 101.00 20.00 719.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 104.00 867.00 -999.00
2020 267 11 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.10000 47.45 24.70 100.90 20.00 752.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 104.00 881.00 -999.00
2020 267 11 30 -999.00 -999.00 -999.00 -999.00 -999.00 2.10000 46.34 25.10 100.90 20.00 769.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 103.00 888.00 -999.00
2020 267 12 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.00000 45.38 25.50 100.90 21.00 770.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 103.00 888.00 -999.00
2020 267 12 30 -999.00 -999.00 -999.00 -999.00 -999.00 2.00000 44.53 25.80 100.80 21.00 755.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 102.00 883.00 -999.00
2020 267 13 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.90000 43.62 26.10 100.80 21.00 726.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 102.00 873.00 -999.00
2020 267 13 30 -999.00 -999.00 -999.00 -999.00 -999.00 1.90000 43.36 26.20 100.80 21.00 684.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 97.00 865.00 -999.00
2020 267 14 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.90000 42.85 26.30 100.80 20.00 629.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 92.00 852.00 -999.00
2020 267 14 30 -999.00 -999.00 -999.00 -999.00 -999.00 1.90000 43.10 26.20 100.80 20.00 551.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 98.00 794.00 -999.00
2020 267 15 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.80000 43.26 26.10 100.80 20.00 450.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 111.00 676.00 -999.00
2020 267 15 30 -999.00 -999.00 -999.00 -999.00 -999.00 1.70000 44.30 25.70 100.80 19.00 378.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 87.00 687.00 -999.00
2020 267 16 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.60000 46.49 25.30 100.80 19.00 301.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 68.00 689.00 -999.00
2020 267 16 30 -999.00 -999.00 -999.00 -999.00 -999.00 1.40000 50.23 24.00 100.80 19.00 205.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 57.00 597.00 -999.00
2020 267 17 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.10000 56.29 22.70 100.90 18.00 113.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 43.00 458.00 -999.00
2020 267 17 30 -999.00 -999.00 -999.00 -999.00 -999.00 1.10000 61.29 21.30 100.90 18.00 35.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 23.00 218.00 -999.00
2020 267 18 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.10000 64.92 19.80 101.00 18.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2020 267 18 30 -999.00 -999.00 -999.00 -999.00 -999.00 1.10000 64.92 19.80 101.00 18.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2020 267 19 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.20000 67.59 19.00 101.00 17.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2020 267 19 30 -999.00 -999.00 -999.00 -999.00 -999.00 1.20000 69.80 18.50 101.10 17.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2020 267 20 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.20000 71.02 18.10 101.10 16.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2020 267 20 30 -999.00 -999.00 -999.00 -999.00 -999.00 1.20000 73.28 17.60 101.10 16.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2020 267 21 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.20000 74.98 17.10 101.10 16.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2020 267 21 30 -999.00 -999.00 -999.00 -999.00 -999.00 1.20000 76.41 16.80 101.10 16.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2020 267 22 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.20000 77.76 16.40 101.20 16.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2020 267 22 30 -999.00 -999.00 -999.00 -999.00 -999.00 1.20000 79.26 16.10 101.20 16.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2020 267 23 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.20000 79.79 15.90 101.20 16.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2020 267 23 30 -999.00 -999.00 -999.00 -999.00 -999.00 1.20000 81.33 15.60 101.20 16.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2020 268 0 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.20000 82.02 15.40 101.20 16.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2020 268 0 30 -999.00 -999.00 -999.00 -999.00 -999.00 1.20000 83.08 15.20 101.20 16.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2020 268 1 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.10000 83.67 15.00 101.20 16.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2020 268 1 30 -999.00 -999.00 -999.00 -999.00 -999.00 1.10000 84.21 14.90 101.20 16.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2020 268 2 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.00000 83.53 14.90 101.20 16.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2020 268 2 30 -999.00 -999.00 -999.00 -999.00 -999.00 1.00000 84.06 14.80 101.20 16.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2020 268 3 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.00000 83.84 14.70 101.20 16.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2020 268 3 30 -999.00 -999.00 -999.00 -999.00 -999.00 1.00000 83.84 14.70 101.20 17.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2020 268 4 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.00000 83.97 14.60 101.20 17.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2020 268 4 30 -999.00 -999.00 -999.00 -999.00 -999.00 1.00000 84.60 14.50 101.30 17.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2020 268 5 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.00000 85.82 14.40 101.30 17.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2020 268 5 30 -999.00 -999.00 -999.00 -999.00 -999.00 1.00000 84.18 14.70 101.30 18.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 -999.00
2020 268 6 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.00000 84.49 15.00 101.30 18.00 14.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 14.00 12.00 -999.00
2020 268 6 30 -999.00 -999.00 -999.00 -999.00 -999.00 1.00000 80.36 15.80 101.40 18.00 64.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 47.00 132.00 -999.00
